,negative,neutral,positive,volume,close
169,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
170,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
171,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
172,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
173,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
174,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
175,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
176,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
177,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
178,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
179,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
180,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
181,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
182,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
183,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
184,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
185,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
186,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
187,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
188,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
189,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
190,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
191,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
192,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
193,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
194,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
195,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
196,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
197,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
198,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
199,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
200,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
201,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
202,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
203,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
204,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
205,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
206,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
207,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
208,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
209,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
210,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
211,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
212,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
213,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
214,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
215,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
216,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
217,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
218,0.0,0.0,0.0,0.15576118601999062,0.1519676248953391
219,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
220,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
221,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
222,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
223,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
224,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
225,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
226,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
227,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
228,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
229,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
230,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
231,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
232,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
233,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
234,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
235,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
236,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
237,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
238,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
239,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
240,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
241,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
242,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
243,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
244,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
245,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
246,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
247,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
248,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
249,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
250,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
251,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
252,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
253,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
254,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
255,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
256,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
257,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
258,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
259,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
260,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
261,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
262,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
263,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
264,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
265,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
266,0.0,0.0,0.0,0.18157241564365734,0.12049958135640526
267,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
268,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
269,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
270,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
271,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
272,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
273,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
274,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
275,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
276,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
277,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
278,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
279,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
280,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
281,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
282,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
283,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
284,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
